customer_id,customer_name,email,phone,city
1,Arjun Patil,customer1@example.com,9896233790,Bangalore
2,Karan Joshi,customer2@example.com,9249827706,Mumbai
3,Kavya Sharma,customer3@example.com,9734036506,Delhi
4,Vivaan Patil,customer4@example.com,9200604502,Nagpur
5,Karan Tathe,customer5@example.com,9746412689,Pune
6,Kavya Joshi,customer6@example.com,9868820204,Delhi
7,Karan More,customer7@example.com,9732719211,Bangalore
8,Aarav Kulkarni,customer8@example.com,9849621470,Delhi
9,Priya Deshmukh,customer9@example.com,9266944844,Nagpur
10,Priya Sharma,customer10@example.com,9199585092,Delhi
11,Arjun Pawar,customer11@example.com,9469319644,Bangalore
12,Vivaan More,customer12@example.com,9675770529,Mumbai
13,Pooja Sharma,customer13@example.com,9692749116,Bangalore
14,Simran Pawar,customer14@example.com,9719927151,Nagpur
15,Aditya Patil,customer15@example.com,9810026086,Nagpur
16,Raj Sharma,customer16@example.com,9349957310,Mumbai
17,Pooja Deshmukh,customer17@example.com,9586845604,Hyderabad
18,Rahul Pawar,customer18@example.com,9481469012,Nagpur
19,Ankit Sharma,customer19@example.com,9754049436,Nashik
20,Kavya Joshi,customer20@example.com,9275452091,Chennai
21,Pooja Deshmukh,customer21@example.com,9787194506,Nagpur
22,Priya Patil,customer22@example.com,9345938494,Pune
23,Priya Jadhav,customer23@example.com,9387484583,Mumbai
24,Amit Kale,customer24@example.com,9870854579,Hyderabad
25,Amit More,customer25@example.com,9524806516,Chennai
26,Rohan Deshmukh,customer26@example.com,9249926919,Nagpur
27,Kavya Tathe,customer27@example.com,9382116655,Delhi
28,Riya Jadhav,customer28@example.com,9488690725,Nagpur
29,Rohan Tathe,customer29@example.com,9629908599,Mumbai
30,Vivaan Sharma,customer30@example.com,9264112119,Nashik
31,Neha Kale,customer31@example.com,9168212356,Delhi
32,Pooja Kale,customer32@example.com,9602564736,Bangalore
33,Kavya Patil,customer33@example.com,9830448745,Mumbai
34,Kavya Deshmukh,customer34@example.com,9925276600,Hyderabad
35,Arjun Deshmukh,customer35@example.com,9566825638,Nashik
36,Meera Patil,customer36@example.com,9875340444,Bangalore
37,Isha Kulkarni,customer37@example.com,9645119047,Mumbai
38,Raj Tathe,customer38@example.com,9753876785,Nagpur
39,Rohan Pawar,customer39@example.com,9918739736,Nashik
40,Kavya Tathe,customer40@example.com,9100614068,Hyderabad
41,Ananya Patil,customer41@example.com,9220117054,Hyderabad
42,Raj Joshi,customer42@example.com,9162196678,Nagpur
43,Riya Sharma,customer43@example.com,9191969690,Chennai
44,Aditya Tathe,customer44@example.com,9922308461,Nashik
45,Rohan More,customer45@example.com,9690347116,Nashik
46,Ankit Tathe,customer46@example.com,9751325257,Delhi
47,Amit Tathe,customer47@example.com,9910959828,Nagpur
48,Raj Jadhav,customer48@example.com,9821218382,Hyderabad
49,Meera Tathe,customer49@example.com,9584779555,Mumbai
50,Karan Joshi,customer50@example.com,9168747287,Hyderabad
51,Aarav Kale,customer51@example.com,9694768704,Nagpur
52,Riya Joshi,customer52@example.com,9107721109,Mumbai
53,Vivaan Joshi,customer53@example.com,9172370545,Pune
54,Priya Sharma,customer54@example.com,9652070932,Nagpur
55,Ankit More,customer55@example.com,9330035022,Nashik
56,Riya Kale,customer56@example.com,9607526654,Nagpur
57,Ananya Jadhav,customer57@example.com,9304451095,Mumbai
